Ab Chrunch Machine	Abs Crunch Machine
Ab Twist Machine	Abs Twist Bodyweight
Abductor machine	Abductors Abduction Machine
Abs Chrunch Machine	Abs Crunch Machine
Abs Crunch Crucifix	Abs Crunch Bodyweight
Abs Crunches Floor Bicycle	Abs Twist Bodyweight
Abs Rotation Cable	Abs Rotation Cable
Abs Russian Twist	Abs Twist Bodyweight
Abs Twist Machine	Abs Twist Bodyweight
Adduction Machine	Adductors Adduction Machine
Assisted pull ups	Lats Pull-Up Bodyweight
Barbell Split Squat	Quads Squat Barbell Split
Barbell Sumo Squat	Quads Squat Barbell Back
Barbell squats	Quads Squat Barbell Back
Bench Press Dumbbells	Chest Press Dumbbell
Bench press	Chest Press Barbell
Biceps Curls Cable	Biceps Curl Cable
Biceps Curls Dumbbells	Biceps Curl Dumbbell
Biceps Curls Reverse Cable	Biceps Curl Cable
Biceps Hammer Curls	Biceps Curl Cable Hammer
Biceps Hammer Curls Cable	Biceps Curl Cable Hammer
Cabel lateral raise	Shoulders Raise Cable Lateral
Cabel lateral raise 2	Shoulders Raise Cable Lateral
Cable Face Pull	Shoulders Face Pull Cable
Cable abs rotation	Abs Rotation Cable
Cable rows	Mid Back Row Cable Seated
Cable tricep push downs	Triceps Pushdown Cable
Chest Fly Cable	Chest Fly Cable
Chest Fly Reverse Machine	Shoulders Fly Machine Rear-Delt
Chest Press Barbell	Chest Press Barbell
Chest Press Barbell Incline	Chest Press Barbell Incline
Chest Press Dumbbells	Chest Press Dumbbell
Chest Press Machine	Chest Press Machine
Cross-body Lateral Raise Dumbbells	Shoulders Raise Dumbbell Lateral
Crunches Floor Bicycle	Abs Twist Bodyweight
Dead Lift Sumo Dumbbells	Hamstrings Deadlift Dumbbell Stiff-Legged
Deadlift Dumbbells	Hamstrings Deadlift Dumbbell Stiff-Legged
Dips	Triceps Dip Bodyweight
Dips Arnold	Triceps Dip Bodyweight
Dumbbell biceps curls	Biceps Curl Dumbbell
Dumbbell chest flys	Chest Fly Dumbbell
Dumbbell shoulder press	Shoulders Press Dumbbell Seated
Face Pulls Cable	Shoulders Face Pull Cable
Floor leg raises	Abs Raise Bodyweight Lying
French Press Dumbbells	Triceps Extension Dumbbell Lying
Front Raise Cable	Shoulders Raise Cable Front
Front squat	Quads Squat Barbell Front
Hyperextensions	Lower Back Extension Bodyweight
Incline bench press	Chest Press Barbell Incline
Lat pulldowns   narrow grip	Lats Pulldown Cable Close-Grip
Lat pulldowns   to chest overhand	Lats Pulldown Cable Wide-Grip
Lat pulldowns   to chest underhand	Lats Pulldown Cable Supinated
Lat-Pull-downs Behind-Neck	Lats Pulldown Cable Wide-Grip
Lat-Pull-downs Chest-Overhand	Lats Pulldown Cable Wide-Grip
Lat-Pull-downs Chest-Underhand	Lats Pulldown Cable Supinated
Lateral Raise Cable	Shoulders Raise Cable Lateral
Lateral Raise Machine	Shoulders Raise Dumbbell Lateral
Leg Curls Machine	Biceps Curl Machine
Leg Extension Machine	Quads Extension Machine
Leg Press Machine	Quads Press Machine
Leg Raises Floor	Abs Raise Bodyweight Lying
Leg extension	Quads Extension Machine
Leg press	Quads Press Machine
Machine Butterfly Reverse	Shoulders Fly Machine Rear-Delt
Machine rows	Lats Row Machine Iso-Lateral
Pull Over Dumbbells	Chest Pullover Dumbbell
Pull-overs Dumbbells	Chest Pullover Dumbbell
Pull-ups	Lats Pull-Up Bodyweight
Pull-ups Assistend	Lats Pull-Up Bodyweight
Rear Delt Fly Dumbbells	Shoulders Fly Dumbbell Rear-Delt
Rear delt fly machine	Shoulders Fly Machine Rear-Delt
Rows Cable	Mid Back Row Cable Seated
Rows Dumbbells	Mid Back Row Dumbbell One-Arm
Rows Machine	Lats Row Machine Iso-Lateral
Russian twist	Abs Twist Bodyweight
Seated leg curls	Hamstrings Curl Machine Seated
Shoulder Press Dumbbells	Shoulders Press Dumbbell Seated
Shoulder Press Machine	Shoulders Press Machine Overhead
Shoulder machine press	Shoulders Press Machine Overhead
Squat Dumbbells	Quads Squat Dumbbell Goblet
Squat with dumbbells	Quads Squat Dumbbell Goblet
Squats	Quads Squat Barbell Back
Squats Barbell	Quads Squat Barbell Back
Tricep Extension Cable	Triceps Extension Cable Standing
Tricep Extension Dumbbells	Triceps Extension Dumbbell Lying
Tricep Overhead Extension Cable	Triceps Extension Cable Overhead
Tricep Push down reverse Cable	Triceps Pushdown Cable
Triceps Dips Assisted	Triceps Dip Bodyweight
Triceps Extension Cable	Triceps Extension Cable Standing
Triceps Extension Dumbbells	Triceps Extension Dumbbell Lying
Triceps Kickbacks Cable	Triceps Extension Cable Standing
Triceps Overhead Extension Cable	Triceps Extension Cable Overhead
Triceps Push-downs Cable	Triceps Pushdown Cable
Triceps Push-downs Reverse Cable	Triceps Pushdown Cable
